time,ip,prediction,action
2026-08-02 16:24:20.490771,192.168.1.13,ANOMALY,BLOCKED
2026-08-02 16:24:20.584517,192.168.1.202,ANOMALY,BLOCKED
2026-08-02 16:24:20.667661,192.168.1.60,ANOMALY,BLOCKED
2026-08-02 16:24:20.749516,192.168.1.210,ANOMALY,BLOCKED
2026-08-02 16:24:20.934049,192.168.1.99,ANOMALY,BLOCKED
2026-08-02 16:24:21.084236,192.168.1.108,ANOMALY,BLOCKED
2026-08-02 16:24:21.186074,192.168.1.34,ANOMALY,BLOCKED
2026-08-02 16:24:21.276025,192.168.1.220,ANOMALY,BLOCKED
2026-08-02 16:24:21.365382,192.168.1.5,ANOMALY,BLOCKED
2026-08-02 16:24:21.465366,192.168.1.33,ANOMALY,BLOCKED
2026-08-02 16:24:21.561809,192.168.1.161,NORMAL,ALLOWED
2026-08-02 16:24:21.658164,192.168.1.221,ANOMALY,BLOCKED
2026-08-02 16:24:21.765204,192.168.1.135,ANOMALY,BLOCKED
2026-08-02 16:24:21.854580,192.168.1.159,ANOMALY,BLOCKED
2026-08-02 16:24:21.939266,192.168.1.5,ANOMALY,BLOCKED
2026-08-02 16:24:22.021028,192.168.1.76,ANOMALY,BLOCKED
2026-08-02 16:24:22.206207,192.168.1.210,ANOMALY,BLOCKED
2026-08-02 16:24:22.320765,192.168.1.32,ANOMALY,BLOCKED
2026-08-02 16:24:22.496437,192.168.1.106,ANOMALY,BLOCKED
2026-08-02 16:24:22.628512,192.168.1.169,ANOMALY,BLOCKED
2026-08-02 16:24:22.715724,192.168.1.81,ANOMALY,BLOCKED
2026-08-02 16:24:22.854710,192.168.1.84,ANOMALY,BLOCKED
2026-08-02 16:24:23.046209,192.168.1.191,ANOMALY,BLOCKED
2026-08-02 16:24:23.223972,192.168.1.191,NORMAL,ALLOWED
2026-08-02 16:24:23.404226,192.168.1.180,ANOMALY,BLOCKED
2026-08-02 16:24:23.594103,192.168.1.221,ANOMALY,BLOCKED
2026-08-02 16:24:23.767915,192.168.1.165,ANOMALY,BLOCKED
2026-08-02 16:24:23.939236,192.168.1.104,ANOMALY,BLOCKED
2026-08-02 16:24:24.093000,192.168.1.144,ANOMALY,BLOCKED
2026-08-02 16:24:24.265402,192.168.1.19,ANOMALY,BLOCKED
2026-08-02 16:24:24.435081,192.168.1.115,ANOMALY,BLOCKED
2026-08-02 16:24:24.653610,192.168.1.227,ANOMALY,BLOCKED
2026-08-02 16:24:24.839817,192.168.1.189,ANOMALY,BLOCKED
2026-08-02 16:24:25.013437,192.168.1.52,ANOMALY,BLOCKED
2026-08-02 16:24:25.186939,192.168.1.64,ANOMALY,BLOCKED
2026-08-02 16:24:25.337872,192.168.1.238,ANOMALY,BLOCKED
2026-08-02 16:24:25.420005,192.168.1.33,ANOMALY,BLOCKED
2026-08-02 16:24:25.542144,192.168.1.189,ANOMALY,BLOCKED
2026-08-02 16:24:25.737029,192.168.1.244,ANOMALY,BLOCKED
2026-08-02 16:24:25.850855,192.168.1.231,ANOMALY,BLOCKED
2026-08-02 16:24:26.002767,192.168.1.83,NORMAL,ALLOWED
2026-08-02 16:24:26.185949,192.168.1.86,ANOMALY,BLOCKED
2026-08-02 16:24:26.378047,192.168.1.7,ANOMALY,BLOCKED
2026-08-02 16:24:26.551129,192.168.1.16,ANOMALY,BLOCKED
2026-08-02 16:24:26.731474,192.168.1.191,ANOMALY,BLOCKED
2026-08-02 16:24:26.884976,192.168.1.225,ANOMALY,BLOCKED
2026-08-02 16:24:27.046196,192.168.1.53,NORMAL,ALLOWED
2026-08-02 16:24:27.221670,192.168.1.88,ANOMALY,BLOCKED
2026-08-02 16:24:27.350890,192.168.1.4,ANOMALY,BLOCKED
2026-08-02 16:24:27.484021,192.168.1.110,ANOMALY,BLOCKED
2026-08-02 16:24:27.659220,192.168.1.118,ANOMALY,BLOCKED
2026-08-02 16:24:27.837527,192.168.1.66,ANOMALY,BLOCKED
2026-08-02 16:24:28.013315,192.168.1.111,ANOMALY,BLOCKED
2026-08-02 16:24:28.190653,192.168.1.125,ANOMALY,BLOCKED
2026-08-02 16:24:28.379681,192.168.1.20,ANOMALY,BLOCKED
2026-08-02 16:24:28.573968,192.168.1.124,ANOMALY,BLOCKED
2026-08-02 16:24:28.724049,192.168.1.144,ANOMALY,BLOCKED
2026-08-02 16:24:28.801240,192.168.1.183,ANOMALY,BLOCKED
2026-08-02 16:24:29.022810,192.168.1.217,NORMAL,ALLOWED
2026-08-02 16:24:29.209048,192.168.1.170,ANOMALY,BLOCKED
2026-08-02 16:24:29.357333,192.168.1.216,ANOMALY,BLOCKED
2026-08-02 16:24:29.432849,192.168.1.158,ANOMALY,BLOCKED
2026-08-02 16:24:29.513865,192.168.1.172,ANOMALY,BLOCKED
2026-08-02 16:24:29.704635,192.168.1.205,ANOMALY,BLOCKED
2026-08-02 16:24:29.884107,192.168.1.70,ANOMALY,BLOCKED
2026-08-02 16:24:30.067821,192.168.1.70,ANOMALY,BLOCKED
2026-08-02 16:24:30.190282,192.168.1.10,ANOMALY,BLOCKED
2026-08-02 16:24:30.262302,192.168.1.213,ANOMALY,BLOCKED
2026-08-02 16:24:30.406956,192.168.1.168,ANOMALY,BLOCKED
2026-08-02 16:24:30.604466,192.168.1.61,ANOMALY,BLOCKED
2026-08-02 16:24:30.743721,192.168.1.74,ANOMALY,BLOCKED
2026-08-02 16:24:30.845328,192.168.1.214,ANOMALY,BLOCKED
2026-08-02 16:24:31.048540,192.168.1.107,ANOMALY,BLOCKED
2026-08-02 16:24:31.180446,192.168.1.102,ANOMALY,BLOCKED
2026-08-02 16:24:31.301374,192.168.1.222,ANOMALY,BLOCKED
2026-08-02 16:24:31.464879,192.168.1.73,ANOMALY,BLOCKED
2026-08-02 16:24:31.663489,192.168.1.146,ANOMALY,BLOCKED
2026-08-02 16:24:31.859252,192.168.1.240,ANOMALY,BLOCKED
2026-08-02 16:24:32.048932,192.168.1.24,ANOMALY,BLOCKED
2026-08-02 16:24:32.237180,192.168.1.254,ANOMALY,BLOCKED
