time,ip,prediction,action
2026-06-05 15:34:43.786089,192.168.1.15,1,BLOCKED
2026-06-05 15:34:43.806147,192.168.1.172,1,BLOCKED
2026-06-05 15:34:43.822047,192.168.1.187,1,BLOCKED
2026-06-05 15:34:43.836944,192.168.1.34,1,BLOCKED
2026-06-05 15:34:43.852185,192.168.1.241,1,BLOCKED
2026-06-05 15:34:43.866905,192.168.1.116,1,BLOCKED
2026-06-05 15:34:43.882778,192.168.1.222,1,BLOCKED
2026-06-05 15:34:43.896912,192.168.1.2,1,BLOCKED
2026-06-05 15:34:43.914511,192.168.1.28,1,BLOCKED
2026-06-05 15:34:43.928873,192.168.1.128,1,BLOCKED
2026-06-05 15:34:43.943147,192.168.1.41,1,BLOCKED
2026-06-05 15:34:43.956805,192.168.1.235,1,BLOCKED
2026-06-05 15:34:43.972174,192.168.1.42,1,BLOCKED
2026-06-05 15:34:43.993772,192.168.1.43,1,BLOCKED
2026-06-05 15:34:44.056145,192.168.1.241,1,BLOCKED
2026-06-05 15:34:44.071041,192.168.1.30,1,BLOCKED
2026-06-05 15:34:44.084320,192.168.1.114,1,BLOCKED
2026-06-05 15:34:44.096663,192.168.1.165,1,BLOCKED
2026-06-05 15:34:44.110060,192.168.1.21,1,BLOCKED
2026-06-05 15:34:44.130048,192.168.1.223,1,BLOCKED
2026-06-05 15:34:44.148344,192.168.1.41,1,BLOCKED
2026-06-05 15:34:44.162638,192.168.1.161,1,BLOCKED
2026-06-05 15:34:44.177297,192.168.1.10,1,BLOCKED
2026-06-05 15:34:44.190882,192.168.1.139,1,BLOCKED
2026-06-05 15:34:44.203178,192.168.1.195,1,BLOCKED
2026-06-05 15:34:44.215901,192.168.1.151,1,BLOCKED
2026-06-05 15:34:44.230173,192.168.1.187,1,BLOCKED
2026-06-05 15:34:44.243630,192.168.1.183,1,BLOCKED
2026-06-05 15:34:44.259163,192.168.1.232,1,BLOCKED
2026-06-05 15:34:44.277420,192.168.1.17,0,ALLOWED
2026-06-05 15:34:44.293088,192.168.1.4,0,ALLOWED
2026-06-05 15:34:44.308837,192.168.1.137,1,BLOCKED
2026-06-05 15:34:44.324893,192.168.1.121,1,BLOCKED
2026-06-05 15:34:44.340409,192.168.1.10,1,BLOCKED
2026-06-05 15:34:44.353994,192.168.1.43,0,ALLOWED
2026-06-05 15:34:44.366855,192.168.1.221,0,ALLOWED
2026-06-05 15:34:44.382360,192.168.1.112,0,ALLOWED
2026-06-05 15:34:44.395737,192.168.1.160,0,ALLOWED
2026-06-05 15:34:44.413713,192.168.1.142,1,BLOCKED
2026-06-05 15:34:44.434581,192.168.1.13,1,BLOCKED
2026-06-05 15:34:44.459413,192.168.1.38,1,BLOCKED
2026-06-05 15:34:44.484557,192.168.1.183,1,BLOCKED
2026-06-05 15:34:44.501813,192.168.1.1,1,BLOCKED
2026-06-05 15:34:44.516145,192.168.1.61,1,BLOCKED
2026-06-05 15:34:44.533953,192.168.1.241,0,ALLOWED
2026-06-05 15:34:44.550594,192.168.1.215,1,BLOCKED
2026-06-05 15:34:44.569201,192.168.1.6,1,BLOCKED
2026-06-05 15:34:44.587068,192.168.1.245,0,ALLOWED
2026-06-05 15:34:44.601602,192.168.1.241,1,BLOCKED
2026-06-05 15:34:44.614777,192.168.1.100,1,BLOCKED
2026-06-05 15:34:44.632291,192.168.1.189,1,BLOCKED
2026-06-05 15:34:44.646171,192.168.1.51,1,BLOCKED
2026-06-05 15:34:44.659941,192.168.1.20,1,BLOCKED
2026-06-05 15:34:44.676209,192.168.1.39,0,ALLOWED
2026-06-05 15:34:44.690233,192.168.1.205,0,ALLOWED
2026-06-05 15:34:44.704376,192.168.1.213,1,BLOCKED
2026-06-05 15:34:44.719488,192.168.1.49,1,BLOCKED
2026-06-05 15:34:44.739880,192.168.1.234,1,BLOCKED
2026-06-05 15:34:44.755102,192.168.1.180,0,ALLOWED
2026-06-05 15:34:44.769375,192.168.1.210,1,BLOCKED
2026-06-05 15:34:44.784118,192.168.1.232,1,BLOCKED
2026-06-05 15:34:44.797908,192.168.1.211,1,BLOCKED
2026-06-05 15:34:44.811126,192.168.1.234,1,BLOCKED
